Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Category
2800.5,4960.5,52.0,225.0,68.0,-1275.4,2
2949.7,4612.5,25.0,249.0,72.0,-1168.9,2
39879.0,11019.0,27.0,2117.0,193.0,-3860.8,4
16784.0,7930.7,57.0,843.0,143.0,-2804.7,3
1935.5,4299.4,6.0,165.0,63.0,-1101.4,3
57109.0,11031.0,94.0,2748.0,211.0,-4561.6,0
53.519,2496.5,5.0,4.0,34.0,-546.38,1
472000.0,25115.0,49.0,15506.0,484.0,-8440.9,2
33029.0,9665.7,87.0,1921.0,176.0,-3403.4,4
4897.2,5660.1,15.0,293.0,88.0,-307.91,5
60313.0,11524.0,129.0,2904.0,218.0,-4253.3,3
9801.8,7889.8,29.0,622.0,122.0,-2414.1,4
102000.0,14772.0,54.0,4248.0,308.0,-7416.6,0
3209.2,4430.8,33.0,248.0,71.0,-1206.0,4
5179.1,6409.3,57.0,291.0,78.0,-2379.0,2
33331.0,11658.0,103.0,1693.0,203.0,-4078.6,4
141000.0,15003.0,42.0,5843.0,314.0,-2950.6,3
141000.0,13849.0,160.0,6056.0,307.0,-6052.5,4
11539.0,7027.5,19.0,764.0,103.0,-1651.9,5
16572.0,9279.6,1.0,843.0,142.0,-1017.4,5
3456.5,4878.4,7.0,243.0,73.0,-1725.8,0
49425.0,9915.3,22.0,2678.0,217.0,-6659.9,3
32343.0,8785.6,10.0,1746.0,180.0,-3125.0,0
66667.0,10254.0,96.0,3049.0,206.0,-6051.4,0
26337.0,8556.3,28.0,1363.0,155.0,-2248.1,4
2024.4,5736.4,54.0,130.0,84.0,-1661.7,0
12108.0,7464.9,67.0,695.0,129.0,-2871.6,5
197000.0,17794.0,69.0,6752.0,360.0,-8359.9,0
98809.0,10396.0,33.0,4618.0,245.0,-4553.9,0
4744.8,5884.2,21.0,344.0,86.0,-1001.4,1
4330.5,5087.0,14.0,339.0,73.0,-1294.1,5
16230.0,7384.2,98.0,888.0,133.0,-4153.6,0
3468.9,5292.0,51.0,133.0,51.0,-793.88,2
342000.0,21315.0,98.0,11564.0,461.0,-4791.1,3
5454.6,6709.1,9.0,292.0,79.0,-1850.7,2
4974.3,6697.6,50.0,346.0,107.0,-2094.9,3
4672.6,8551.3,27.0,271.0,130.0,-2532.5,5
50931.0,13375.0,35.0,2463.0,233.0,-5658.8,2
141000.0,14753.0,52.0,5843.0,314.0,-3969.0,4
26292.0,10141.0,24.0,1415.0,173.0,-3234.6,4
52683.0,11170.0,54.0,2191.0,224.0,-3720.1,4
251000.0,18065.0,83.0,8472.0,467.0,-9482.0,0
57637.0,12269.0,36.0,2823.0,223.0,-2200.5,4
115000.0,12025.0,48.0,4904.0,236.0,-2020.7,3
85268.0,11169.0,26.0,3450.0,219.0,-2710.9,3
23241.0,7622.4,15.0,1414.0,180.0,-4366.0,0
38775.0,8720.5,22.0,1886.0,195.0,-3559.4,3
51230.0,14015.0,44.0,2463.0,234.0,-3850.1,3
9113.2,6729.6,26.0,517.0,101.0,-624.98,4
51036.0,13175.0,35.0,2465.0,233.0,-4111.7,2
